# PLUTO 64uk-42ks, cd='301', first 10000 lots ordered by bbl, pulled 2026-09-20
bbl
3021280001
3021280005
3021280015
3021290001
3021290004
3021290005
3021290006
3021290007
3021290009
3021290042
3021297501
3021297502
3021297503
3021297504
3021297505
3021297506
3021297507
3021297508
3021300001
3021300002
3021300003
3021300004
3021300017
3021300021
3021300025
3021300026
3021300028
3021300104
3021307501
3021307502
3021310001
3021310008
3021310011
3021310014
3021310015
3021310016
3021310017
3021310018
3021310024
3021310026
3021310027
3021310031
3021310032
3021310034
3021310035
3021310037
3021310040
3021317501
3021317502
3021317503
3021317504
3021320011
3021320012
3021320016
3021320020
3021320021
3021320026
3021320030
3021320034
3021320035
3021320036
3021320037
3021327501
3021327502
3021327503
3021327504
3021327505
3021327506
3021330001
3021330003
3021330004
3021330008
3021330009
3021330010
3021330011
3021330012
3021330013
3021330014
3021330015
3021330018
3021330019
3021330020
3021330031
3021330032
3021330033
3021337501
3021337502
3021340036
3021340039
3021340056
3021340125
3021340126
3021340148
3021340150
3021347501
3021347502
3021347503
3021347504
3021348041
3021350001
3021350103
3021350104
3021350107
3021357501
3021357502
3021357503
3021357504
3021357505
3021357506
3021357507
3021357508
3021357509
3021360001
3021360009
3021360010
3021360011
3021360012
3021360018
3021360019
3021360020
3021360024
3021360026
3021360027
3021360028
3021360030
3021360031
3021360032
3021360034
3021360111
3021360112
3021367501
3021367502
3021367503
3021367504
3021367505
3021370005
3021370006
3021370008
3021370014
3021370020
3021370021
3021370024
3021370025
3021370026
3021370029
3021370031
3021370036
3021370038
3021370039
3021370040
3021370043
3021370044
3021370050
3021370134
3021377501
3021377502
3021377503
3021377504
3021380005
3021380007
3021380011
3021380014
3021380015
3021380016
3021380017
3021380018
3021380023
3021380024
3021380029
3021380034
3021380035
3021380108
3021380128
3021387501
3021387502
3021387503
3021387504
3021390003
3021390005
3021390006
3021390007
3021390010
3021390012
3021390013
3021390014
3021390016
3021390025
3021390026
3021390027
3021390032
3021390034
3021390037
3021390040
3021390044
3021390045
3021397501
3021397502
3021397503
3021400001
3021400003
3021400005
3021400006
3021400007
3021400009
3021400011
3021400013
3021400017
3021400021
3021400026
3021407501
3021410001
3021410005
3021410006
3021410008
3021410010
3021410012
3021410013
3021410014
3021410015
3021410016
3021410017
3021410018
3021410019
3021420005
3021427501
3021450001
3021450008
3021450017
3021450018
3021450026
3021450027
3021450028
3021450029
3021450030
3021450031
3021450032
3021450033
3021450034
3021450035
3021450036
3021460001
3021460013
3021460014
3021460015
3021460019
3021460022
3021460023
